'id','meta_series','month_year','region_id','std_margin_percentage'
828,'419',2023-10-01,2,0.18
829,'290',2023-10-01,2,0.23
830,'1',2023-10-01,2,0.14
831,'810',2023-10-01,2,0.14
832,'177',2023-10-01,2,0.19
833,'5',2023-10-01,2,0.19
834,'6',2023-10-01,2,0.22
835,'878',2023-10-01,2,0.17
836,'3D0',2023-10-01,2,0.2
837,'7T0',2023-10-01,2,0.21
838,'19',2023-10-01,2,0.12
839,'877',2023-10-01,2,0.09
840,'236',2023-10-01,2,0.09
841,'8',2023-10-01,2,0.09
842,'917',2023-10-01,2,0.05
843,'222',2023-10-01,2,0.03
844,'238',2023-10-01,2,0.08
845,'117',2023-10-01,2,0.05
846,'366',2023-10-01,2,0.12
847,'299',2023-10-01,2,0.09
848,'117',2023-10-01,2,0.05
849,'117',2023-10-01,2,0.05
850,'117',2023-10-01,2,0.05
851,'117',2023-10-01,2,0.05
852,'276',2023-10-01,4,0.08
853,'976',2023-10-01,4,0.08
854,'985',2023-10-01,4,0.1
855,'915',2023-10-01,4,0.12
856,'435',2023-10-01,4,0.05
857,'815',2023-10-01,4,0.05
858,'849',2023-10-01,4,0.05
859,'406',2023-10-01,4,0.05
860,'843',2023-10-01,4,0.04
861,'956',2023-10-01,4,0.2
862,'6W9',2023-10-01,4,0.25
863,'001',2023-10-01,4,0.15
864,'810',2023-10-01,4,0.15
865,'3C1',2023-10-01,4,0.12
866,'253',2023-10-01,4,0.08
867,'236',2023-10-01,4,0.07
868,'3C0',2023-10-01,4,0.08
869,'289',2023-10-01,4,0.06
870,'7S4',2023-10-01,5,0.2
871,'3C5',2023-10-01,2,0.2
872,'3C4',2023-10-01,4,0.07
873,'3C5',2023-10-01,4,0.06
874,'921',2023-10-01,1,0.09
875,'921',2023-10-01,5,0.09
876,'921',2023-10-01,2,0.09
877,'404',2023-10-01,1,0.03
878,'404',2023-10-01,5,0.03
879,'214',2023-10-01,5,0.01
880,'214',2023-10-01,2,0.01
881,'008',2023-10-01,5,0.12
882,'3C0',2023-10-01,2,0.3
883,'236',2023-10-01,5,0.07
884,'876',2023-10-01,5,0.08
885,'117',2023-10-01,5,0.06
886,'117',2023-10-01,5,0.06
887,'117',2023-10-01,5,0.06
888,'117',2023-10-01,5,0.06
889,'117',2023-10-01,5,0.06
890,'006',2023-10-01,5,0.25
891,'970',2023-10-01,5,0.12
892,'970',2023-10-01,2,0.12
893,'970',2023-10-01,1,0.12
894,'869',2023-10-01,1,0.09
895,'813',2023-10-01,1,0.12
