'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
P2.2,H,Class 3,'2-3 Ton MH LL Walkie','438',Masate,C3 - Standard and Premium, , , 
MPW050E,Y,Class 3,'2-3 Ton MH LL Walkie','802',Greenville,C3 - Standard and Premium, , , 
MP22A,Y,Class 3,'2-3 Ton MH LL Walkie','842',Masate,C3 - Standard and Premium, , , 
MP 25-30HD,Y,Class 3,'2-3 Ton MH LL Walkie','856',Masate,C3 - Standard and Premium, , , 
P2.0SD,H,Class 3,'2-3 Ton MH LL Rider','433',Masate,C3 - Standard and Premium, , , 
P2.0S,H,Class 3,'2-3 Ton MH LL Rider','439',Masate,C3 - Standard and Premium, , , 
LO2.0L,H,Class 3,'2-3 Ton MH LL Rider','445',Masate,C3 - Standard and Premium, , , 
MP20XA FBW,Y,Class 3,'2-3 Ton MH LL Rider','843',Masate,C3 - Standard and Premium, , , 
MO 20/S,Y,Class 3,'2-3 Ton MH LL Rider','857',Masate,C3 - Standard and Premium, , , 
MP 20XD,Y,Class 3,'2-3 Ton MH LL Rider','892',Masate,C3 - Standard and Premium, , , 
LO2.0M,H,Class 3,'2-3 Ton MH LL Rider','939',Masate,C3 - Standard and Premium, , , 
MO 20F,Y,Class 3,'2-3 Ton MH LL Rider','943a',Masate,C3 - Standard and Premium, , , 
P2.0SE,H,Class 3,'2-3 Ton MH LL Rider','978',Masate,C3 - Standard and Premium, , , 
MP 20XV,Y,Class 3,'2-3 Ton MH LL Rider','979',Masate,C3 - Standard and Premium, , , 
MO20FA,Y,Class 3,'2-3 Ton MH LL Rider','858',Masate,C3 - Standard and Premium, , , 
B60ZAC,H,Class 3,'3 Ton MH LL Rider','230',Greenville,C3 - Standard and Premium, , , 
B60ZHD,H,Class 3,'3 Ton MH LL Rider','262',Greenville,C3 - Standard and Premium, , , 
MPE060-VG,Y,Class 3,'3 Ton MH LL Rider','292',Greenville,C3 - Standard and Premium, , , 
C60ZAC,H,Class 3,'3 Ton MH LL Rider','478',Greenville,C3 - Standard and Premium, , , 
MPE060,Y,Class 3,'3 Ton MH LL Rider','896',Greenville,C3 - Standard and Premium, , , 
MPC060LE,Y,Class 3,'3 Ton MH LL Rider','904',Greenville,C3 - Standard and Premium, , , 
MLW060,Y,Class 3,'2-3 Ton MH LL Platfm','828',Greenville,C3 - Standard and Premium, , , 
W80XT,H,Class 3,'3-4 Ton MH LL Walkie','135',Greenville,C3 - Standard and Premium, , , 
W65Z,H,Class 3,'3-4 Ton MH LL Walkie','229',Greenville,C3 - Standard and Premium, , , 
MPW065,Y,Class 3,'3-4 Ton MH LL Walkie','894',Greenville,C3 - Standard and Premium, , , 
W60Z,H,Class 3,'3 Ton MH LL Walkie','231',Greenville,C3 - Standard and Premium, , , 
MPW060E,Y,Class 3,'3 Ton MH LL Walkie','897',Greenville,C3 - Standard and Premium, , , 
W80Z,H,Class 3,'4 Ton MH LL Walkie','234',Greenville,C3 - Standard and Premium, , , 
MPW080,Y,Class 3,'4 Ton MH LL Walkie','891',Greenville,C3 - Standard and Premium, , , 
B80XT,H,Class 3,'3-4 Ton MH LL Rider','199',Greenville,C3 - Standard and Premium, , , 
C80XT2,H,Class 3,'3-4 Ton MH LL Rider','499',Greenville,C3 - Standard and Premium, , , 
MPC080AD,Y,Class 3,'3-4 Ton MH LL Rider','898',Greenville,C3 - Standard and Premium, , , 
MPC080LD,Y,Class 3,'3-4 Ton MH LL Rider','899',Greenville,C3 - Standard and Premium, , , 
B80ZAC,H,Class 3,'4 Ton MH LL Rider','233',Greenville,C3 - Standard and Premium, , , 
B80ZHD,H,Class 3,'4 Ton MH LL Rider','257',Greenville,C3 - Standard and Premium, , , 
