'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
GDP2CD,Yale,'',,D871,'',,,,,7057
H18XD9,Hyster,Class 5 BT,,D236,Nijmegen,,,,,7058
H2.5XT,Hyster,Class 5 NOT BT,,D466,SN,,,,,7059
ERC100VHS,Yale,Class 1,,A938,Greenville,,,,,7060
GDP25MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7061
GLP25L,Yale,'',,D871,'',,,,,7062
GD30CD,Yale,'',,D871,'',,,,,7063
H5.0UT6,Hyster,Class 5 NOT BT,,A3D0,Maximal,,,,,7064
N30ZDR3,Hyster,Class 2,,E264,Greenville,,,,,7065
C1.5L,Hyster,Class 2,,B464,Masate,,,,,7066
GC070V,Yale,Class 4,,C910,Berea,,,,,7067
H18XD7,Hyster,Class 5 BT,,C238,Nijmegen,,,,,7068
H4.0FT6,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,7069
GDP25A,Yale,'',,D871,'',,,,,7070
H8XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7071
MS40FT,Hyster,Class 4,,H187,Berea,,,,,7072
W30ZC,Hyster,Class 3,,C454,Greenville,,,,,7073
S120FTS,Hyster,Class 4,,J004,Berea,,,,,7074
H20XTC,Hyster,'',,D466,'',,,,,7075
H6XDEC,Hyster,Class 5 BT,,N019,Nijmegen,,,,,7076
J80XNL,Hyster,Class 1,,A250,Craigavon,,,,,7077
GP50UXS6,Yale,Class 5 NOT BT,,A7S6,Maximal,,,,,7078
ERP50VM6,Yale,Class 4,,A985,Craigavon,,,,,7079
G140DP,Yale,Class 5 BT,,K876,Nijmegen,,,,,7080
GDP15MX,Yale,Class 5 NOT BT,,E812,SN,,,,,7081
GC120VXPRS,Yale,Class 4,,G818,Berea,,,,,7082
GDP10F,Yale,Class 5 BT,,K876,Nijmegen,,,,,7083
FBR13SZ,Yale,Class 2,,C900,SN,,,,,7084
H10XD12,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7085
MO10L,Yale,Class 2,,E857,Masate,,,,,7086
F1.8UT,Hyster,Class 5 NOT BT,,A3B4,Maximal,,,,,7087
MR12E,Yale,Class 2,,A942,Masate,,,,,7088
GTP2XB,Yale,'',,D871,'',,,,,7089
H12XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7090
F3.5UT,Hyster,Class 5 NOT BT,,A3B4,Maximal,,,,,7091
ERP35UX,Yale,Class 1,,A7S4,Maximal,,,,,7092
GTP30MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7093
H7.0UT6,Hyster,Class 5 NOT BT,,A3D0,Maximal,,,,,7094
H5.0UTS6,Hyster,Class 5 NOT BT,,A3C6,Maximal,,,,,7095
GLP35MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7096
MO10S,Yale,Class 2,,B865,Masate,,,,,7097
ERP040VT,Yale,Class 2,,G807,Craigavon,,,,,7098
MP30X,Yale,Class 3,,A3D9,Maximal,,,,,7099
